step,train_loss,val_loss
0,3.517165035009384,3.522856742143631
50,2.2588642239570618,2.245818942785263
100,2.1476288735866547,2.1434485018253326
150,2.0672966092824936,2.0636187195777893
200,1.9683396518230438,1.9926136434078217
250,1.8847336173057556,1.9286138266324997
300,1.784939467906952,1.81633660197258
